timestamp,pm1,pm2.5,pm4,pm10
2023-12-18 00:00:00,1.36,1.36,1.36,1.36
2023-12-18 00:15:00,1.36,1.36,1.36,1.36
2023-12-18 00:30:00,1.36,1.36,1.36,1.36
2023-12-18 00:45:00,1.36,1.36,1.36,1.36
2023-12-18 01:00:00,1.36,1.36,1.36,1.36
2023-12-18 01:15:00,1.36,1.36,1.36,1.36
2023-12-18 01:30:00,1.36,1.36,1.36,1.36
2023-12-18 01:45:00,1.36,1.36,1.36,1.36
2023-12-18 02:00:00,1.36,1.36,1.36,1.36
2023-12-18 02:15:00,1.5413333333333334,1.904,2.0853333333333337,2.0853333333333337
2023-12-18 02:30:00,2.629333333333333,2.72,2.72,2.72
2023-12-18 02:45:00,2.72,2.72,2.72,2.810666666666667
2023-12-18 03:00:00,2.72,2.72,2.810666666666667,2.810666666666667
2023-12-18 03:15:00,2.629333333333333,2.72,2.72,2.72
2023-12-18 03:30:00,1.5413333333333334,1.8133333333333335,1.8133333333333335,1.904
2023-12-18 03:45:00,1.36,1.36,1.36,1.36
2023-12-18 04:00:00,1.36,1.36,1.36,1.36
2023-12-18 04:15:00,1.36,1.36,1.36,1.36
2023-12-18 04:30:00,1.36,1.36,1.36,1.36
2023-12-18 04:45:00,2.3573333333333335,2.538666666666667,2.538666666666667,2.538666666666667
2023-12-18 05:00:00,2.72,2.72,2.72,2.72
2023-12-18 05:15:00,2.72,2.72,2.72,2.72
2023-12-18 05:30:00,2.72,2.72,2.72,2.72
2023-12-18 05:45:00,2.266666666666667,2.629333333333333,2.629333333333333,2.629333333333333
2023-12-18 06:00:00,1.7226666666666668,2.0853333333333337,2.0853333333333337,2.0853333333333337
2023-12-18 06:15:00,2.3573333333333335,2.538666666666667,2.538666666666667,2.538666666666667
2023-12-18 06:30:00,2.72,2.72,2.72,2.72
2023-12-18 06:45:00,2.72,2.9013333333333335,2.9013333333333335,2.9013333333333335
2023-12-18 07:00:00,2.9013333333333335,3.2640000000000002,3.2640000000000002,3.2640000000000002
2023-12-18 07:15:00,3.5360000000000005,4.08,4.08,4.08
2023-12-18 07:30:00,3.2640000000000002,3.898666666666667,3.989333333333333,3.989333333333333
2023-12-18 07:45:00,11.333333333333336,11.877333333333333,11.877333333333333,11.877333333333333
2023-12-18 08:00:00,24.570666666666664,26.112000000000002,26.202666666666666,26.202666666666666
2023-12-18 08:15:00,13.962666666666669,14.869333333333335,14.869333333333335,14.869333333333335
2023-12-18 08:30:00,7.162666666666667,7.797333333333334,7.797333333333334,7.797333333333334
2023-12-18 08:45:00,4.442666666666667,4.8053333333333335,4.8053333333333335,4.8053333333333335
2023-12-18 09:00:00,3.2640000000000002,3.717333333333334,3.717333333333334,3.717333333333334
2023-12-18 09:15:00,2.72,2.810666666666667,2.810666666666667,2.810666666666667
2023-12-18 09:30:00,2.72,2.810666666666667,2.810666666666667,2.810666666666667
2023-12-18 09:45:00,2.72,2.810666666666667,2.810666666666667,2.810666666666667
2023-12-18 10:00:00,3.2640000000000002,3.4453333333333336,3.4453333333333336,3.4453333333333336
2023-12-18 10:15:00,3.1733333333333333,3.898666666666667,3.898666666666667,3.898666666666667
2023-12-18 10:30:00,3.1733333333333333,3.808,3.808,3.808
2023-12-18 10:45:00,4.08,4.442666666666667,4.442666666666667,4.442666666666667
2023-12-18 11:00:00,4.8053333333333335,5.168,5.168,5.168
2023-12-18 11:15:00,5.44,5.44,5.530666666666667,5.530666666666667
2023-12-18 11:30:00,5.44,5.712000000000001,5.712000000000001,5.712000000000001
2023-12-18 11:45:00,5.621333333333334,6.256,6.256,6.256
2023-12-18 12:00:00,5.8933333333333335,6.618666666666667,6.618666666666667,6.618666666666667
2023-12-18 12:15:00,6.074666666666667,6.618666666666667,6.618666666666667,6.618666666666667
2023-12-18 12:30:00,5.530666666666667,6.437333333333334,6.437333333333334,6.437333333333334
2023-12-18 12:45:00,5.802666666666667,6.800000000000001,6.800000000000001,6.800000000000001
2023-12-18 13:00:00,5.984000000000001,6.074666666666667,6.165333333333334,6.256
2023-12-18 13:15:00,4.714666666666667,5.258666666666666,5.44,5.44
2023-12-18 13:30:00,4.08,4.08,4.08,4.08
2023-12-18 13:45:00,4.08,4.08,4.08,4.08
2023-12-18 14:00:00,3.626666666666667,4.08,4.08,4.08
2023-12-18 14:15:00,3.898666666666667,3.989333333333333,3.989333333333333,3.989333333333333
2023-12-18 14:30:00,3.626666666666667,3.989333333333333,3.989333333333333,3.989333333333333
2023-12-18 14:45:00,3.5360000000000005,3.898666666666667,3.898666666666667,3.898666666666667
2023-12-18 15:00:00,3.354666666666667,3.808,3.898666666666667,3.898666666666667
2023-12-18 15:15:00,2.9013333333333335,3.354666666666667,3.4453333333333336,3.4453333333333336
2023-12-18 15:30:00,3.082666666666667,3.717333333333334,3.717333333333334,3.717333333333334
2023-12-18 15:45:00,3.082666666666667,3.2640000000000002,3.2640000000000002,3.2640000000000002
2023-12-18 16:00:00,2.9013333333333335,3.4453333333333336,3.5360000000000005,3.5360000000000005
2023-12-18 16:15:00,2.810666666666667,2.9013333333333335,2.9013333333333335,2.9013333333333335
2023-12-18 16:30:00,2.72,2.72,2.72,2.72
2023-12-18 16:45:00,2.72,2.72,2.72,2.810666666666667
2023-12-18 17:00:00,2.72,2.810666666666667,2.810666666666667,2.810666666666667
2023-12-18 17:15:00,2.810666666666667,2.9013333333333335,2.9013333333333335,2.9013333333333335
2023-12-18 17:30:00,2.72,3.082666666666667,3.082666666666667,3.082666666666667
