,Timestamp,PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
682,2023-12-25 02:30:00,8.733333333333333,9.933333333333334,,10.466666666666669,10.866666666666667,,65.73333333333333,75.66666666666667,76.66666666666667,76.86666666666666,76.86666666666666,0.0,82.32,,18.0,,0.0,0.0
683,2023-12-25 02:45:00,8.066666666666666,9.6,,10.133333333333333,10.666666666666666,,61.06666666666667,70.8,72.0,72.26666666666667,72.33333333333333,0.0,82.2,,18.0,,0.0,0.0
684,2023-12-25 03:00:00,7.866666666666666,9.266666666666667,,10.0,10.666666666666666,,58.333333333333336,68.2,69.46666666666667,69.6,69.66666666666667,0.0,82.2,,19.0,,0.0,0.0
685,2023-12-25 03:15:00,7.333333333333333,8.8,,9.533333333333331,9.933333333333334,,55.266666666666666,64.4,65.46666666666667,65.6,65.73333333333333,0.0,82.2,,18.933333333333334,,0.0,0.0
686,2023-12-25 03:30:00,7.733333333333333,9.066666666666666,,10.0,10.266666666666667,,57.2,66.6,67.8,68.0,68.13333333333334,0.0,82.26666666666667,,18.0,,0.0,0.0
687,2023-12-25 03:45:00,7.933333333333334,9.333333333333334,,10.2,10.866666666666667,,58.8,68.66666666666667,69.86666666666666,70.46666666666667,70.53333333333333,0.0,82.4,,18.0,,0.0,0.0
688,2023-12-25 04:00:00,8.066666666666666,9.866666666666667,,10.933333333333334,11.333333333333334,,60.4,70.93333333333334,72.2,72.66666666666667,72.8,0.0,82.42666666666668,,18.0,,0.0,0.0
689,2023-12-25 04:15:00,8.4,10.133333333333333,,11.066666666666666,11.466666666666669,,62.86666666666667,73.53333333333333,74.93333333333334,75.26666666666667,75.33333333333333,0.0,82.6,,18.0,,0.0,0.0
690,2023-12-25 04:30:00,7.933333333333334,9.733333333333333,,10.866666666666667,11.133333333333333,,58.8,69.33333333333333,70.66666666666667,71.13333333333334,71.26666666666667,0.0,82.6,,18.0,,0.0,0.0
691,2023-12-25 04:45:00,8.266666666666667,9.933333333333334,,11.0,11.533333333333331,,60.2,70.8,72.4,72.73333333333333,72.86666666666666,0.0,82.6,,18.0,,0.0,0.0
692,2023-12-25 05:00:00,8.6,10.2,,11.4,11.933333333333334,,62.0,72.93333333333334,74.66666666666667,74.93333333333334,75.06666666666666,0.0,82.74666666666667,,18.0,,0.0,0.0
693,2023-12-25 05:15:00,8.733333333333333,10.4,,11.4,11.666666666666666,,64.2,75.0,76.66666666666667,76.8,76.86666666666666,0.0,82.80666666666666,,18.0,,0.0,0.0
694,2023-12-25 05:30:00,9.266666666666667,11.266666666666667,,12.266666666666667,12.666666666666666,,68.26666666666667,79.93333333333334,81.66666666666667,82.13333333333334,82.13333333333334,0.0,82.83333333333333,,18.0,,0.0,0.0
695,2023-12-25 05:45:00,9.466666666666669,10.8,,11.8,12.2,,70.0,81.06666666666666,82.46666666666667,82.93333333333334,83.06666666666666,0.0,82.8,,18.0,,0.0,0.0
696,2023-12-25 06:00:00,9.0,10.866666666666667,,11.8,12.066666666666666,,67.73333333333333,78.86666666666666,80.33333333333333,80.6,80.66666666666667,0.0,82.8,,18.0,,0.0,0.0
697,2023-12-25 06:15:00,8.733333333333333,10.466666666666669,,11.666666666666666,12.266666666666667,,64.13333333333334,75.2,77.0,77.2,77.26666666666667,0.0,82.85333333333332,,18.0,,0.0,0.0
698,2023-12-25 06:30:00,8.2,10.066666666666666,,11.2,11.8,,60.266666666666666,70.93333333333334,72.66666666666667,73.06666666666666,73.26666666666667,0.0,82.8,,18.0,,0.0,0.0
699,2023-12-25 06:45:00,8.066666666666666,9.6,,10.6,11.533333333333331,,57.0,67.53333333333333,69.06666666666666,69.6,69.6,0.0,82.86,,18.0,,0.0,0.0
700,2023-12-25 07:00:00,8.533333333333333,10.333333333333334,,11.333333333333334,11.866666666666667,,62.53333333333333,73.4,75.0,75.4,75.53333333333333,0.0,82.8,,18.0,,0.0,0.0
701,2023-12-25 07:15:00,9.2,11.133333333333333,,12.133333333333333,13.0,,67.93333333333334,79.46666666666667,81.06666666666666,81.73333333333333,81.86666666666666,0.0,82.87333333333332,,18.0,,0.0,0.0
702,2023-12-25 07:30:00,9.066666666666666,10.8,,11.8,12.266666666666667,,66.13333333333334,77.4,79.06666666666666,79.46666666666667,79.53333333333333,0.0,83.7,,18.0,,0.0,0.0
703,2023-12-25 07:45:00,9.733333333333333,11.866666666666667,,13.4,14.066666666666666,,70.8,83.66666666666667,85.8,86.13333333333334,86.4,0.0,83.07333333333332,,18.0,,0.0,0.0
704,2023-12-25 08:00:00,10.733333333333333,12.866666666666667,,14.4,15.0,,78.93333333333334,92.6,94.8,95.06666666666666,95.13333333333334,0.0,82.83333333333333,,18.0,,0.0,0.0
705,2023-12-25 08:15:00,14.133333333333333,16.2,,17.266666666666666,17.6,,106.8,122.93333333333334,124.66666666666669,124.8,124.86666666666666,0.0,82.78666666666666,,18.0,,0.0,0.0
706,2023-12-25 08:30:00,14.6,16.8,,17.733333333333334,18.53333333333333,,110.53333333333332,127.33333333333331,129.06666666666666,129.6,129.6,0.0,82.6,,18.0,,0.0,0.0
707,2023-12-25 08:45:00,12.133333333333333,14.333333333333334,,15.666666666666666,16.266666666666666,,90.4,105.33333333333331,107.13333333333334,107.86666666666666,107.86666666666666,0.0,82.67999999999999,,18.0,,0.0,0.0
708,2023-12-25 09:00:00,10.666666666666666,13.333333333333334,,14.866666666666667,15.8,,76.73333333333333,91.26666666666668,93.8,94.26666666666668,94.4,0.0,82.8,,18.0,,0.0,0.0
709,2023-12-25 09:15:00,12.0,14.666666666666666,,16.133333333333333,17.0,,87.73333333333333,103.26666666666668,105.73333333333332,106.0,106.4,0.0,82.62666666666665,,18.0,,0.0,0.0
710,2023-12-25 09:30:00,13.4,16.133333333333333,,17.533333333333335,18.33333333333333,,99.66666666666669,116.4,118.86666666666666,119.4,119.4,0.0,82.6,,18.0,,0.0,0.0
711,2023-12-25 09:45:00,14.333333333333334,17.266666666666666,,18.933333333333334,19.6,,107.53333333333332,125.46666666666668,127.86666666666666,128.46666666666667,128.46666666666667,0.0,82.6,,18.0,,0.0,0.0
712,2023-12-25 10:00:00,13.2,16.4,,18.0,19.066666666666663,,94.4,111.93333333333334,115.06666666666666,115.53333333333332,115.66666666666669,0.0,82.80666666666666,,18.0,,0.0,0.0
713,2023-12-25 10:15:00,12.2,15.933333333333334,,18.4,19.666666666666668,,86.8,104.86666666666666,108.4,109.2,109.4,0.0,83.02,,18.0,,0.0,0.0
714,2023-12-25 10:30:00,11.266666666666667,15.533333333333331,,18.466666666666665,20.066666666666663,,75.86666666666666,94.33333333333331,98.86666666666666,99.73333333333332,99.93333333333334,0.0,82.85333333333332,,18.0,,0.0,0.0
715,2023-12-25 10:45:00,10.933333333333334,15.466666666666669,,18.466666666666665,20.133333333333333,,72.93333333333334,91.46666666666668,95.93333333333334,96.86666666666666,97.26666666666668,0.0,82.73333333333333,,18.0,,0.0,0.0
716,2023-12-25 11:00:00,10.466666666666669,15.066666666666666,,18.133333333333333,19.53333333333333,,69.93333333333334,87.86666666666666,92.33333333333331,93.26666666666668,93.73333333333332,0.0,82.6,,18.0,,0.0,0.0
717,2023-12-25 11:15:00,10.066666666666666,14.2,,16.933333333333334,18.2,,68.33333333333333,85.13333333333334,89.06666666666666,89.93333333333334,90.13333333333334,0.0,82.6,,18.0,,0.0,0.0
718,2023-12-25 11:30:00,9.933333333333334,13.666666666666666,,16.4,17.733333333333334,,66.73333333333333,83.06666666666666,87.0,87.86666666666666,88.0,0.0,82.6,,18.0,,0.0,0.0
719,2023-12-25 11:45:00,9.733333333333333,13.066666666666666,,15.4,16.466666666666665,,66.93333333333334,81.93333333333334,85.4,86.06666666666666,86.26666666666667,0.0,82.69333333333333,,18.0,,0.0,0.0
