,Unnamed: 0,Timestamp,PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
0,0,2023-12-18 00:00:00,1.9166666666666667,1.9833333333333327,,2.0,2.0,,11.866666666666667,13.316666666666666,13.333333333333334,13.35,13.35,0.0,84.61333333333332,,9.0,,0.0,0.0
1,1,2023-12-18 01:00:00,1.7,1.9,,1.9,1.9166666666666667,,11.266666666666667,12.716666666666669,12.716666666666669,12.716666666666669,12.716666666666669,0.0,84.6,,9.0,,0.0,0.0
2,2,2023-12-18 02:00:00,2.433333333333333,2.6,,2.65,2.716666666666667,,16.883333333333333,19.0,19.166666666666668,19.166666666666668,19.183333333333334,0.0,84.75666666666666,,9.0,,0.0,0.0
3,3,2023-12-18 03:00:00,2.433333333333333,2.6,,2.65,2.683333333333333,,16.95,19.166666666666668,19.266666666666666,19.3,19.3,0.0,85.22,,9.0,,0.0,0.0
4,4,2023-12-18 04:00:00,2.0166666666666666,2.15,,2.1666666666666665,2.183333333333333,,13.433333333333334,15.016666666666667,15.1,15.116666666666667,15.116666666666667,0.0,85.53166666666667,,9.0,,0.0,0.0
5,5,2023-12-18 05:00:00,2.833333333333333,3.1333333333333333,,3.216666666666667,3.25,,20.316666666666663,22.916666666666668,23.016666666666666,23.016666666666666,23.05,0.0,85.63333333333334,,9.0,,0.0,0.0
6,6,2023-12-18 06:00:00,2.8,3.066666666666667,,3.1,3.1,,20.166666666666668,22.75,22.8,22.8,22.8,0.0,88.485,,9.333333333333334,,2.8,0.0
7,7,2023-12-18 07:00:00,8.0,8.366666666666667,,8.383333333333333,8.383333333333333,,56.583333333333336,63.31666666666667,63.48333333333333,63.5,63.516666666666666,0.0,86.71166666666666,,10.283333333333331,,0.0,0.0
8,8,2023-12-18 08:00:00,14.666666666666666,15.55,,15.55,15.55,,105.23333333333332,117.73333333333332,117.96666666666668,118.01666666666668,118.05,0.0,86.11333333333333,,11.0,,0.0,0.0
9,9,2023-12-18 09:00:00,3.533333333333333,3.9,,3.933333333333333,3.933333333333333,,25.683333333333334,28.766666666666666,28.883333333333333,28.9,28.916666666666668,0.0,85.91000000000001,,11.0,,0.0,0.0
10,10,2023-12-18 10:00:00,4.1,4.283333333333333,,4.3,4.316666666666666,,29.2,32.68333333333333,32.71666666666667,32.733333333333334,32.733333333333334,0.0,85.83333333333333,,11.0,,0.0,0.0
11,11,2023-12-18 11:00:00,6.0,6.45,,6.45,6.466666666666667,,43.36666666666667,48.55,48.63333333333333,48.66666666666666,48.68333333333333,0.0,85.91333333333334,,11.0,,0.0,0.0
12,12,2023-12-18 12:00:00,6.816666666666666,7.116666666666666,,7.15,7.183333333333334,,48.35,54.13333333333333,54.333333333333336,54.36666666666667,54.38333333333333,0.0,85.88333333333334,,11.466666666666669,,0.0,0.0
13,13,2023-12-18 13:00:00,5.4,5.616666666666666,,5.65,5.65,,38.06666666666667,42.68333333333333,42.75,42.8,42.8,0.0,85.83833333333334,,11.6,,0.0,0.0
14,14,2023-12-18 14:00:00,4.0,4.15,,4.183333333333334,4.233333333333333,,28.666666666666668,32.18333333333333,32.28333333333333,32.3,32.3,0.0,85.33166666666666,,12.0,,0.0,0.0
15,15,2023-12-18 15:00:00,4.0,4.016666666666667,,4.016666666666667,4.016666666666667,,27.33333333333333,30.65,30.7,30.7,30.7,0.0,85.12166666666667,,12.0,,0.0,0.0
16,16,2023-12-18 16:00:00,3.566666666666667,3.816666666666667,,3.85,3.85,,25.466666666666665,28.616666666666667,28.7,28.7,28.7,0.0,86.21333333333334,,11.516666666666667,,0.0,0.0
17,17,2023-12-18 17:00:00,3.716666666666667,3.95,,3.966666666666667,3.966666666666667,,25.816666666666663,29.0,29.016666666666666,29.016666666666666,29.03333333333333,0.0,86.13666666666667,,12.0,,0.0,0.0
18,18,2023-12-18 18:00:00,3.783333333333333,4.0,,4.0,4.0,,26.166666666666668,29.4,29.433333333333334,29.45,29.45,0.0,86.14166666666667,,12.0,,0.0,0.0
19,19,2023-12-18 19:00:00,3.316666666666667,3.783333333333333,,3.816666666666667,3.8333333333333335,,24.316666666666663,27.216666666666665,27.28333333333333,27.3,27.316666666666663,0.0,86.30833333333334,,12.0,,0.0,0.0666666666666666
20,20,2023-12-18 20:00:00,3.2333333333333334,3.65,,3.683333333333333,3.716666666666667,,24.066666666666663,26.916666666666668,27.08333333333333,27.1,27.1,0.0,85.885,,12.0,,0.0,0.0
21,21,2023-12-18 21:00:00,3.0166666666666666,3.183333333333333,,3.2,3.216666666666667,,22.266666666666666,25.133333333333333,25.166666666666668,25.166666666666668,25.183333333333334,0.0,85.91000000000001,,12.0,,0.0,0.0
22,22,2023-12-18 22:00:00,2.9166666666666665,2.9833333333333334,,2.9833333333333334,2.9833333333333334,,19.616666666666667,21.933333333333334,21.966666666666665,21.966666666666665,21.966666666666665,0.0,85.85,,12.0,,0.0,0.0
23,23,2023-12-18 23:00:00,2.1666666666666665,2.466666666666667,,2.466666666666667,2.4833333333333334,,16.65,18.58333333333333,18.616666666666667,18.616666666666667,18.633333333333333,0.0,86.17333333333335,,12.0,,0.0,0.0
